feature,gain
mslp_hPa_lag2,484583.91845703125
wind_gust_m_s_lag4,483094.15869140625
wind_m_s_lag2,476131.728515625
t2m_C_roll96m,473557.4118652344
precip_mm_roll96m,468212.7004394531
H2S_ppm_roll48m,456455.38134765625
rh_%_roll96m,447188.53955078125
H2S_ppm_roll24m,445800.31982421875
rh_%_roll48m,444211.08056640625
mslp_hPa_roll8m,432712.0693359375
t2m_C_lag64,420280.259765625
H2S_ppm_roll96m,411762.2497558594
drip_rate_ml_min_roll48m,410845.0935058594
cloud_frac_roll4m,407394.7395019531
wind_m_s_roll48m,400101.822265625
H2_ppm_roll24m,397906.4685058594
mslp_hPa_lag4,394056.400390625
precip_mm_roll48m,385585.68701171875
H2_ppm_roll16m,373951.81982421875
rh_%_roll24m,373918.32080078125
mslp_hPa_lag24,372106.52001953125
H2S_ppm_roll16m,371601.6906738281
rh_%_lag64,368065.1892089844
t2m_C_lag32,367592.80908203125
RH_%_roll24m,358692.70947265625
P_mbar_lag48,354827.3298339844
rad_MJ_m2_roll96m,354136.5285644531
rad_MJ_m2_roll24m,353433.68896484375
P_mbar_lag64,351253.44091796875
rad_MJ_m2_roll48m,347825.4294433594
cloud_frac_roll8m,345571.29296875
wind_gust_m_s_roll48m,338959.7438964844
P_mbar_lag96,335481.251953125
t2m_C_lag48,325614.1506347656
wind_m_s_roll16m,323939.42041015625
t2m_C_lag24,317171.8798828125
mslp_hPa_roll48m,306760.52197265625
rh_%_roll8m,304254.30859375
RH_%_roll16m,303862.22119140625
drip_rate_ml_min_roll24m,301500.87890625
CH4_ppm_roll24m,299852.2805175781
wind_m_s_roll24m,292759.7707519531
wind_gust_m_s_roll16m,290854.419921875
O2_%_roll24m,281768.9794921875
rh_%_roll16m,272662.77978515625
CH4_ppm_roll8m,267342.51953125
precip_mm_roll24m,264566.7492675781
CH4_ppm_roll16m,264456.7185058594
wind_gust_m_s_lag2,262989.4997558594
drip_rate_ml_min_roll16m,260203.58984375
precip_mm_roll16m,254465.69995117188
cloud_frac,251256.5810546875
P_mbar_roll96m,248649.92041015625
drip_rate_ml_min_roll4m,240110.9501953125
RH_%_lag32,233897.189453125
rad_MJ_m2_lag64,230204.6201171875
rh_%_lag8,229672.51953125
drip_rate_ml_min_roll8m,228080.00048828125
t2m_C_lag16,225829.00927734375
rh_%_lag12,223351.70068359375
H2S_ppm_roll8m,221421.20971679688
cloud_frac_lag8,217345.20068359375
daylength_h,215354.10888671875
RH_%_lag48,215307.49853515625
hod_cos,213367.37060546875
rh_%_lag32,212873.94970703125
H2S_ppm_roll4m,210254.0
P_mbar_lag32,208361.51879882812
t2m_C_lag96,206447.15966796875
rh_%_lag96,205789.3203125
t2m_C_roll48m,204407.53833007812
t2m_C,204010.92822265625
P_mbar_roll48m,197589.50048828125
RH_%_roll8m,190594.19946289062
rad_MJ_m2_lag32,188735.12060546875
P_mbar_roll8m,184913.51049804688
rad_MJ_m2_roll8m,184802.70971679688
RH_%,184481.810546875
drip_rate_ml_min_lag96,183911.17993164062
t2m_C_roll24m,181441.96997070312
wind_gust_m_s_roll24m,180055.32934570312
H2_ppm_roll8m,178573.87963867188
cloud_frac_lag96,177688.14111328125
mslp_hPa_roll16m,176439.47998046875
RH_%_lag16,175450.90087890625
P_mbar,173158.28076171875
cloud_frac_lag32,172960.9091796875
P_mbar_lag16,170275.08935546875
P_mbar_roll24m,168530.76025390625
cloud_frac_lag16,166411.33032226562
mslp_hPa_lag16,164792.3193359375
hod_sin,160966.44799804688
precip_mm_roll8m,160722.9482421875
rad_MJ_m2_lag16,160114.90869140625
rh_%_lag24,157680.29077148438
wind_gust_m_s,155501.6201171875
wind_gust_m_s_lag8,154834.41967773438
soil_moisture_%vol_lag96,153923.44970703125
rh_%_lag4,153877.02001953125
wind_m_s_lag16,153127.87084960938
cloud_frac_lag64,152352.62866210938
P_mbar_lag24,149277.41943359375
wind_m_s_lag1,148390.98046875
wind_m_s_lag32,147853.6201171875
rad_MJ_m2_roll16m,146691.8310546875
P_mbar_lag12,146482.66040039062
t2m_C_lag12,145521.66943359375
precip_mm_lag48,144393.6103515625
rh_%_lag16,143079.50952148438
precip_mm_lag24,142754.81982421875
rad_MJ_m2_roll4m,140974.00854492188
rh_%_lag3,140948.2294921875
precip_mm_lag8,140766.79956054688
rh_%_lag48,138667.451171875
precip_mm_lag32,136702.42919921875
H2_ppm_roll4m,136390.7392578125
precip_mm_lag16,135840.349609375
rh_%_roll4m,129966.9599609375
rad_MJ_m2_lag48,129911.72973632812
cloud_frac_lag12,126992.88916015625
t2m_C_lag8,126985.25
t2m_C_lag4,126949.53100585938
RH_%_lag64,126169.35009765625
P_mbar_lag1,124564.93896484375
wind_m_s_lag12,124143.15991210938
P_mbar_roll16m,123755.85961914062
t2m_C_roll16m,123369.68969726562
RH_%_roll4m,122670.12939453125
precip_mm_lag96,122331.72900390625
daylength_h_lag96,121013.2001953125
RH_%_lag4,119875.1298828125
cloud_frac_lag24,118759.86938476562
P_mbar_roll4m,118072.83056640625
cloud_frac_lag48,117964.37060546875
P_mbar_lag4,116798.73999023438
cloud_frac_lag1,116407.3798828125
RH_%_lag8,114124.88061523438
drip_rate_ml_min_lag48,113905.67041015625
drip_rate_ml_min_lag24,113153.890625
drip_rate_ml_min_lag32,112260.3798828125
mslp_hPa_roll4m,111865.55029296875
CH4_ppm_roll4m,110957.09033203125
H2S_ppm_lag1,109713.00024414062
wind_m_s_lag24,109659.48022460938
SHmax_azimuth_deg,107900.1494140625
cloud_frac_lag3,105884.81982421875
rad_MJ_m2_lag96,104840.2392578125
rad_MJ_m2_lag24,104811.9208984375
rh_%,104346.2001953125
rad_MJ_m2_lag12,102804.41870117188
drip_rate_ml_min_lag3,100648.63037109375
mslp_hPa_lag3,100326.6103515625
cloud_frac_lag4,100225.26025390625
wind_m_s_lag48,99633.111328125
RH_%_lag12,99250.41918945312
wind_m_s_lag96,98942.56982421875
wind_gust_m_s_lag12,97998.080078125
mslp_hPa_roll24m,97925.4306640625
RH_%_lag96,97425.64990234375
precip_mm,95467.42016601562
daylength_h_lag48,93351.82983398438
RH_%_lag3,93306.6796875
rh_%_lag1,92782.14086914062
t2m_C_lag1,91103.17919921875
drip_rate_ml_min_lag1,91038.81005859375
precip_mm_roll4m,90857.1396484375
P_mbar_lag8,90836.14013671875
wind_m_s_lag64,90049.75952148438
precip_mm_lag4,89773.77880859375
precip_mm_lag64,86428.98046875
rh_%_lag2,85796.740234375
RH_%_lag24,85532.54052734375
wind_gust_m_s_lag32,84918.29028320312
precip_mm_lag12,80871.19970703125
daylength_h_roll96m,80408.1591796875
precip_mm_lag3,80347.64013671875
RH_%_lag1,75252.79931640625
drip_rate_ml_min_lag64,73085.080078125
t2m_C_lag3,72956.2001953125
H2S_ppm,72928.81982421875
daylength_h_lag64,72910.98974609375
drip_rate_ml_min_lag4,72018.51025390625
t2m_C_lag2,71835.31884765625
wind_gust_m_s_lag16,70870.46044921875
drip_rate_ml_min,70458.44970703125
t2m_C_roll4m,68886.68994140625
rad_MJ_m2_lag8,68198.900390625
H2_ppm_lag64,68005.28100585938
cloud_frac_lag2,64678.250244140625
rad_MJ_m2,63526.86962890625
RH_%_lag2,61041.0595703125
rad_MJ_m2_lag4,60463.65966796875
rad_MJ_m2_lag3,60326.630126953125
depth_m,58427.2998046875
sediment_thickness_m,58220.80078125
precip_mm_lag1,58116.77978515625
daylength_h_roll48m,57954.2890625
H2_ppm_lag1,57390.3994140625
precip_mm_lag2,55140.50048828125
soil_moisture_%vol_roll96m,55092.18994140625
rad_MJ_m2_lag1,54835.178955078125
t2m_C_roll8m,54443.060546875
wind_gust_m_s_lag96,54067.5390625
H2_ppm_lag48,52173.68994140625
drip_rate_ml_min_lag8,51374.3896484375
H2_ppm_lag4,50648.08056640625
soil_moisture_%vol_lag48,50280.2802734375
drip_rate_ml_min_lag12,49804.77978515625
P_mbar_lag3,48741.239990234375
wind_gust_m_s_lag24,46553.1494140625
H2S_ppm_lag32,44732.31005859375
porosity_frac,44680.099609375
O2_%_lag96,44413.0
P_mbar_lag2,43685.1005859375
H2_ppm_lag12,43594.63037109375
soil_moisture_%vol_lag64,43234.85009765625
drip_rate_ml_min_lag2,43175.1904296875
H2S_ppm_lag96,42825.25
H2_ppm_lag96,42673.83935546875
H2S_ppm_lag16,42119.41015625
H2_ppm_lag16,40594.81005859375
daylength_h_lag4,40199.259765625
O2_%_lag48,39652.3701171875
soil_moisture_%vol_lag1,39490.2001953125
daylength_h_lag24,38323.7197265625
aquifer_type,37805.7802734375
H2S_ppm_lag2,37519.23974609375
wind_gust_m_s_lag48,36784.50048828125
H2S_ppm_lag3,35469.5703125
H2_ppm_lag2,35225.0107421875
drip_rate_ml_min_lag16,35157.189453125
CH4_ppm_lag12,34313.4296875
O2_%_lag64,33448.8505859375
CH4_ppm_lag64,32157.68017578125
daylength_h_lag1,30885.650390625
O2_%_lag32,29025.6796875
H2_ppm_lag32,28630.97998046875
wind_gust_m_s_lag64,27487.6904296875
H2_ppm,27134.909912109375
rad_MJ_m2_lag2,26827.66064453125
H2S_ppm_lag4,26586.319580078125
daylength_h_lag16,26578.93017578125
daylength_h_lag32,26210.5498046875
H2_ppm_lag8,25715.81982421875
H2_ppm_lag24,25428.97998046875
O2_%_lag16,25132.9404296875
H2S_ppm_lag48,24807.44970703125
soil_moisture_%vol_lag32,24470.210205078125
H2S_ppm_lag24,24324.509765625
H2S_ppm_lag12,23616.4306640625
daylength_h_lag12,23473.7900390625
soil_moisture_%vol,23102.009765625
daylength_h_lag8,22935.77978515625
H2S_ppm_lag8,19672.27978515625
litho_class_l1,19241.2099609375
soil_moisture_%vol_lag16,19070.27001953125
soil_moisture_%vol_lag2,18467.52001953125
O2_%_lag24,17618.5302734375
daylength_h_roll16m,15883.3701171875
soil_moisture_%vol_roll24m,15692.13037109375
CH4_ppm_lag96,15030.5302734375
H2S_ppm_lag64,15020.0498046875
daylength_h_lag2,14403.2099609375
CH4_ppm_lag8,13618.559814453125
soil_moisture_%vol_lag8,12823.080078125
soil_moisture_%vol_lag3,12262.68994140625
soil_moisture_%vol_lag12,12091.240234375
daylength_h_roll8m,11766.1298828125
H2_ppm_lag3,8633.940185546875
land_use_class,7361.77978515625
CH4_ppm_lag2,7145.33984375
soil_moisture_%vol_roll16m,6889.1298828125
CH4_ppm_lag48,6287.1201171875
soil_moisture_%vol_lag24,6026.66015625
soil_moisture_%vol_lag4,5487.8701171875
CH4_ppm_lag4,5362.31005859375
soil_moisture_%vol_roll48m,5189.33984375
soil_moisture_%vol_roll4m,5165.080078125
CH4_ppm_lag16,4902.81005859375
CH4_ppm_lag24,4580.669921875
CH4_ppm_lag3,4028.5
daylength_h_roll4m,0.0
daylength_h_roll24m,0.0
depth_m_lag8,0.0
daylength_h_lag3,0.0
soil_moisture_%vol_roll8m,0.0
CH4_ppm,0.0
annual_T_mean_C,0.0
CH4_ppm_lag1,0.0
CH4_ppm_lag32,0.0
depth_m_lag1,0.0
depth_m_lag2,0.0
geothermal_gradient_C_per_km,0.0
crust_thickness_km,0.0
permeability_m2,0.0
heat_flow_mW_m2,0.0
protected_area,0.0
depth_m_lag3,0.0
depth_m_lag4,0.0
stress_regime,0.0
depth_m_lag12,0.0
depth_m_lag16,0.0
depth_m_lag24,0.0
depth_m_lag32,0.0
depth_m_lag48,0.0
depth_m_lag64,0.0
depth_m_lag96,0.0
depth_m_roll4m,0.0
depth_m_roll8m,0.0
depth_m_roll16m,0.0
depth_m_roll24m,0.0
depth_m_roll48m,0.0
depth_m_roll96m,0.0
